scheduler,learning_rate,dev_accuracy,weights_file,,scheduler ,average,,,,
constant,0.0001,17.05833333,weights_constant_0.0001.npz,,constant,59.6725,,,,
constant,0.0003,31.85833333,weights_constant_0.0003.npz,,time_based,66.66333333,,,,
constant,0.001,66.74166667,weights_constant_0.001.npz,,power,58.98583333,,,,
constant,0.003,83.175,weights_constant_0.003.npz,,exp,61.9725,,,,
constant,0.01,89.34166667,weights_constant_0.01.npz,,,,,,,
constant,0.03,92.7,weights_constant_0.03.npz,,,,,,,
constant,0.1,95.425,weights_constant_0.1.npz,,,,,,,
constant,0.3,96.96666667,weights_constant_0.3.npz,,,Best Case: ,constant,0.3,96.96666667,weights_constant_0.3.npz
constant,1,12.19166667,weights_constant_1.npz,,,,,,,
constant,3,11.26666667,weights_constant_3.npz,,,,,,,
time_based,0.0001,14.03333333,weights_time_based_0.0001.npz,,,"So in theory, the best case should be time based + something between 0.3 and 1",,,,
time_based,0.0003,28.76666667,weights_time_based_0.0003.npz,,,,,,,
time_based,0.001,58.68333333,weights_time_based_0.001.npz,,,,,,,
time_based,0.003,82.83333333,weights_time_based_0.003.npz,,,,,,,
time_based,0.01,89.60833333,weights_time_based_0.01.npz,,,,,,,
time_based,0.03,92.825,weights_time_based_0.03.npz,,,,,,,
time_based,0.1,95.53333333,weights_time_based_0.1.npz,,,,,,,
time_based,0.3,96.83333333,weights_time_based_0.3.npz,,,,,,,
time_based,1,96.25,weights_time_based_1.npz,,,,,,,
time_based,3,11.26666667,weights_time_based_3.npz,,,,,,,
power,0.0001,10.6,weights_power_0.0001.npz,,,,,,,
power,0.0003,13.14166667,weights_power_0.0003.npz,,,,,,,
power,0.001,34.5,weights_power_0.001.npz,,,,,,,
power,0.003,63.88333333,weights_power_0.003.npz,,,,,,,
power,0.01,82.81666667,weights_power_0.01.npz,,,,,,,
power,0.03,89.4,weights_power_0.03.npz,,,,,,,
power,0.1,92.64166667,weights_power_0.1.npz,,,,,,,
power,0.3,95.53333333,weights_power_0.3.npz,,,,,,,
power,1,96.075,weights_power_1.npz,,,,,,,
power,3,11.26666667,weights_power_3.npz,,,,,,,
exp,0.0001,12.85833333,weights_exp_0.0001.npz,,,,,,,
exp,0.0003,16.50833333,weights_exp_0.0003.npz,,,,,,,
exp,0.001,41.45833333,weights_exp_0.001.npz,,,,,,,
exp,0.003,73.94166667,weights_exp_0.003.npz,,,,,,,
exp,0.01,86.64166667,weights_exp_0.01.npz,,,,,,,
exp,0.03,91.08333333,weights_exp_0.03.npz,,,,,,,
exp,0.1,93.84166667,weights_exp_0.1.npz,,,,,,,
exp,0.3,96.14166667,weights_exp_0.3.npz,,,,,,,
exp,1,95.98333333,weights_exp_1.npz,,,,,,,
exp,3,11.26666667,weights_exp_3.npz,,,,,,,
,,,,,,,,,,
,,96.96666667,,,,,,,,
